TYPO_NATIONALE;REFERENCE;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;16;0,93333;0,8;0,53333;0,33333;0
P20;16;0,93333;0,8;0,53333;0,33333;0
TP20;16;0,93333;0,8;0,53333;0,33333;0
GM20/9;15;0,92857;0,78571;0,57142;0,28571;0
G21;;;;;;
M21;19;0,94444;0,77777;0,55555;0,27777;0
P21;19;0,94444;0,77777;0,55555;0,27777;0
TP21;19;0,94444;0,77777;0,55555;0,27777;0
G3;;;;;;
M3;19;0,94444;0,77777;0,55555;0,27777;0
P3;19;0,94444;0,77777;0,55555;0,27777;0
TP3;19;0,94444;0,77777;0,55555;0,27777;0
M3/19;18;0,94117;0,82352;0,5294;0,29411;0
M3/8;19;0,94444;0,77777;0,55555;0,27777;0
G3/19-8;18;0,94117;0,82352;0,5294;0,29411;0
M17;16;0,93333;0,8;0,53333;0,33333;0
P17;16;0,93333;0,8;0,53333;0,33333;0
TP17;16;0,93333;0,8;0,53333;0,33333;0
TG17/3-21;;;;;;
G17/3-21;;;;;;
M15-17/3-21;19;0,94444;0,77777;0,55555;0,27777;0
P17/3-21;19;0,94444;0,77777;0,55555;0,27777;0
TP17/3-21;19;0,94444;0,77777;0,55555;0,27777;0
G15/5;;;;;;
MP15/5;15;0,92857;0,78571;0,57142;0,28571;0
TG15;;;;;;
MP15;15;0,92857;0,78571;0,57142;0,28571;0
TP15;15;0,92857;0,78571;0,57142;0,28571;0
TG10-15/4;;;;;;
G5;;;;;;
M5;15;0,92857;0,78571;0,57142;0,28571;0
P5;15;0,92857;0,78571;0,57142;0,28571;0
TP5;15;0,92857;0,78571;0,57142;0,28571;0
TG5/2;;;;;;
GM5/2;15;0,92857;0,71428;0,5;0,28571;0
TTGA;;;;;;
G2;15;0,92857;0,71428;0,5;0,28571;0
MP2;15;0,92857;0,71428;0,5;0,28571;0
TP2;15;0,92857;0,71428;0,5;0,28571;0
GMP7;15;1;0,78571;0,57142;0,28571;0
TP7;15;1;0,78571;0,57142;0,28571;0
TG6-7/2;;;;;;
GM7/2;14;1;0,76923;0,53846;0,30769;0
GM6/2-7;16;1;0,8;0,53333;0,33333;0
TG6/1-8;;;;;;
GM6/8;16;0,93333;0,8;0,53333;0,33333;0
GM6/1;17;0,9375;0,8125;0,5625;0,3125;0
G6;17;0,9375;0,8125;0,5625;0,3125;0
MP6;17;0,9375;0,8125;0,5625;0,3125;0
TP6;17;0,9375;0,8125;0,5625;0,3125;0
GM8;16;0,93333;0,8;0,53333;0,33333;0
PTP8;16;0,93333;0,8;0,53333;0,33333;0
M8-A;15;0,92857;0,78571;0,57142;0,28571;0
PTP8-A;15;0,92857;0,78571;0,57142;0,28571;0
G16;14;0,92307;0,76923;0,46153;0,23076;0
M16-A;14;0,92307;0,76923;0,46153;0,23076;0
PTP16-A;13;0,91666;0,75;0,5;0,25;0
M16-B;14;0,92307;0,76923;0,46153;0,23076;0
PTP16-B;13;0,91666;0,75;0,5;0,25;0
P19;15;0,92857;0,78571;0,57142;0,28571;0
GM19/8;18;0,94117;0,82352;0,5294;0,29411;0
P11;16;0,93333;0,8;0,53333;0,33333;0
TP11;16;0,93333;0,8;0,53333;0,33333;0
TG11/3-21;;;;;;
G11/3-21;18;0,94117;0,82352;0,5294;0,29411;0
M11/3-21;18;0,94117;0,82352;0,5294;0,29411;0
P11/3-21;18;0,94117;0,82352;0,5294;0,29411;0
TG14/3-11;;;;;;
G14/3;18;0,94117;0,82352;0,5294;0,29411;0
M14/3-11;18;0,94117;0,82352;0,5294;0,29411;0
M14/3-8;18;0,94117;0,82352;0,5294;0,29411;0
GM14;16;0,93333;0,8;0,53333;0,33333;0
P14;16;0,93333;0,8;0,53333;0,33333;0
TP14;16;0,93333;0,8;0,53333;0,33333;0
TG14/1;;;;;;
G14/1;;;;;;
M14/1;17;0,9375;0,8125;0,5625;0,3125;0
P14/1;17;0,9375;0,8125;0,5625;0,3125;0
M13;16;0,93333;0,8;0,53333;0,33333;0
P13;16;0,93333;0,8;0,53333;0,33333;0
TP13;16;0,93333;0,8;0,53333;0,33333;0
G1;;;;;;
M1;17;0,9375;0,8125;0,5625;0,3125;0
P1;17;0,9375;0,8125;0,5625;0,3125;0
TP1;17;0,9375;0,8125;0,5625;0,3125;0
G12;;;;;;
M12-A;16;0,93333;0,8;0,53333;0,33333;0
P12-A;16;0,93333;0,8;0,53333;0,33333;0
TP12-A;16;0,93333;0,8;0,53333;0,33333;0
M12-B;17;0,9375;0,8125;0,5625;0,3125;0
P12-B;17;0,9375;0,8125;0,5625;0,3125;0
TP12-B;17;0,9375;0,8125;0,5625;0,3125;0
TTGL;;;;;;
M9-A;15;0,92857;0,78571;0,57142;0,28571;0
P9-A;15;0,92857;0,78571;0,57142;0,28571;0
TG9;;;;;;
G9;15;0,92857;0,78571;0,57142;0,28571;0
M9;15;0,92857;0,78571;0,57142;0,28571;0
P9;17;0,9375;0,8125;0,5625;0,3125;0
TP9;17;0,9375;0,8125;0,5625;0,3125;0
G9/10;17;0,9375;0,8125;0,5625;0,3125;0
M9/10;17;0,9375;0,8125;0,5625;0,3125;0
TG9/21;;;;;;
G9-10/21;;;;;;
M9-10/21;19;0,94444;0,77777;0,55555;0,27777;0
G10;17;0,9375;0,8125;0,5625;0,3125;0
M10;17;0,9375;0,8125;0,5625;0,3125;0
P10;16;0,93333;0,8;0,53333;0,33333;0
TP10;16;0,93333;0,8;0,53333;0,33333;0
G10/4;;;;;;
M10/4;16;0,93333;0,8;0,53333;0,33333;0
M4;16;0,93333;0,8;0,53333;0,33333;0
P4;16;0,93333;0,8;0,53333;0,33333;0
TP4;16;0,93333;0,8;0,53333;0,33333;0
TG22/10;;;;;;
GM22;19;0,94444;0,77777;0,55555;0,27777;0
P22;19;0,94444;0,77777;0,55555;0,27777;0
TP22;19;0,94444;0,77777;0,55555;0,27777;0
MP18;16;0,93333;0,8;0,53333;0,33333;0
TP18;16;0,93333;0,8;0,53333;0,33333;0
G18/4;;;;;;
M18/4;16;0,93333;0,8;0,53333;0,33333;0
P18/4;16;0,93333;0,8;0,53333;0,33333;0
C;;;;;;
